,0,1,2
0,126.0,126.0,1.0
1,126.0,121.0,1.0
2,126.0,109.0,1.6
3,126.0,103.0,1.6
4,126.0,95.0,1.6
5,126.0,50.0,1.0
6,126.0,42.0,1.0
7,126.0,28.0,1.0
8,126.0,18.0,1.0
9,126.0,14.0,1.0
10,126.0,3.0,1.0
11,125.0,114.0,1.0
12,124.0,75.0,1.6
13,124.0,22.0,1.0
14,123.0,81.0,1.0
15,123.0,66.0,1.0
16,123.0,10.0,1.0
17,122.0,104.0,1.0
18,122.0,46.0,1.0
19,121.0,126.0,1.0
20,121.0,117.0,1.0
21,121.0,94.0,1.0
22,121.0,89.0,1.0
23,121.0,31.0,1.0
24,120.0,112.0,1.0
25,120.0,51.0,1.0
26,120.0,38.0,1.6
27,120.0,2.0,1.6
28,119.0,69.0,1.6
29,118.0,122.0,1.6
30,118.0,94.0,1.0
31,118.0,81.0,1.6
32,118.0,57.0,1.6
33,117.0,46.0,1.0
34,117.0,26.0,1.0
35,116.0,112.0,1.0
36,116.0,101.0,1.0
37,116.0,40.0,1.0
38,116.0,14.0,1.0
39,115.0,117.0,1.6
40,115.0,88.0,1.0
41,115.0,35.0,1.0
42,114.0,93.0,1.6
43,113.0,124.0,1.0
44,113.0,85.0,1.0
45,113.0,63.0,1.0
46,113.0,53.0,1.0
47,112.0,6.0,1.0
48,111.0,120.0,1.0
49,111.0,98.0,1.0
50,111.0,27.0,1.0
51,111.0,16.0,1.0
52,110.0,113.0,1.0
53,110.0,37.0,1.0
54,109.0,126.0,1.6
55,109.0,106.0,1.6
56,109.0,87.0,1.0
57,109.0,69.0,1.0
58,109.0,57.0,1.0
59,108.0,124.0,1.0
60,108.0,79.0,1.6
61,108.0,33.0,1.0
62,108.0,21.0,1.6
63,107.0,43.0,1.6
64,106.0,90.0,1.0
65,106.0,63.0,1.0
66,106.0,31.0,1.6
67,105.0,73.0,1.6
68,105.0,53.0,1.0
69,104.0,107.0,1.0
70,104.0,57.0,1.0
71,104.0,49.0,1.0
72,104.0,1.0,1.6
73,103.0,92.0,1.0
74,103.0,80.0,1.0
75,103.0,34.0,1.0
76,102.0,121.0,1.0
77,102.0,100.0,1.6
78,102.0,86.0,1.0
79,102.0,12.0,1.6
80,101.0,111.0,1.0
81,101.0,73.0,1.0
82,101.0,24.0,1.0
83,100.0,126.0,1.0
84,100.0,106.0,1.0
85,100.0,50.0,1.0
86,100.0,43.0,1.6
87,100.0,37.0,1.0
88,100.0,19.0,1.0
89,99.0,97.0,1.6
90,99.0,92.0,1.0
91,99.0,32.0,1.0
92,98.0,114.0,1.0
93,98.0,85.0,1.0
94,98.0,7.0,1.0
95,98.0,0.0,1.0
96,97.0,120.0,1.0
97,96.0,98.0,1.0
98,96.0,34.0,1.0
99,96.0,28.0,1.6
100,96.0,23.0,1.6
101,96.0,18.0,1.0
102,95.0,124.0,1.0
103,95.0,111.0,1.0
104,95.0,10.0,1.0
105,94.0,118.0,1.0
106,94.0,83.0,1.0
107,94.0,59.0,1.0
108,94.0,53.0,1.0
109,93.0,79.0,1.6
110,93.0,66.0,1.0
111,93.0,45.0,1.0
112,93.0,4.0,1.0
113,92.0,121.0,1.0
114,92.0,104.0,1.0
115,92.0,93.0,1.0
116,92.0,72.0,1.6
117,92.0,13.0,1.0
118,91.0,98.0,1.0
119,91.0,19.0,1.0
120,89.0,125.0,1.0
121,89.0,80.0,1.0
122,89.0,67.0,1.0
123,89.0,40.0,1.6
124,89.0,29.0,1.0
125,88.0,61.0,1.0
126,88.0,53.0,1.6
127,88.0,17.0,1.0
128,88.0,6.0,1.0
129,87.0,76.0,1.0
130,86.0,107.0,1.0
131,86.0,103.0,1.0
132,86.0,98.0,1.0
133,86.0,33.0,1.0
134,86.0,1.0,1.0
135,85.0,114.0,1.6
136,85.0,88.0,1.0
137,85.0,83.0,1.0
138,85.0,69.0,1.0
139,85.0,48.0,1.0
140,85.0,43.0,1.0
141,85.0,22.0,1.6
142,84.0,126.0,1.0
143,84.0,109.0,1.0
144,84.0,63.0,1.6
145,84.0,27.0,1.0
146,84.0,9.0,1.6
147,83.0,118.0,1.6
148,83.0,75.0,1.0
149,82.0,72.0,1.0
150,81.0,123.0,1.0
151,81.0,84.0,1.0
152,81.0,46.0,1.0
153,81.0,39.0,1.0
154,81.0,32.0,1.0
155,80.0,102.0,1.6
156,80.0,0.0,1.0
